City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Date
Busselton,AU,-33.65,115.3333,48.99,98,93,13.09,1619725765
Ushuaia,AR,-54.8,-68.3,42.8,56,20,3.44,1619725535
Touros,BR,-5.1989,-35.4608,80.6,83,75,9.22,1619726109
Hermanus,ZA,-34.4187,19.2345,57.0,72,96,1.01,1619726110
Nikolskoye,RU,59.7035,30.7861,33.75,52,0,2.24,1619726110
Necochea,AR,-38.5473,-58.7368,75.99,52,15,7.0,1619726110
Hong Kong,HK,22.2855,114.1577,70.79,84,100,3.71,1619725821
Cidreira,BR,-30.1811,-50.2056,67.55,65,0,5.66,1619726111
Kyenjojo,UG,0.6328,30.6214,61.63,96,100,2.93,1619726111
Albany,US,42.6001,-73.9662,55.74,90,100,2.75,1619725825
Searcy,US,35.2506,-91.7363,70.83,83,75,7.18,1619725849
Alofi,NU,-19.0595,-169.9187,77.0,100,100,1.14,1619726112
Faanui,PF,-16.4833,-151.75,81.54,72,86,7.47,1619726112
Mataura,NZ,-46.1927,168.8643,51.01,92,100,7.0,1619726112
Delījān,IR,33.9905,50.6838,69.31,25,0,2.86,1619726112
Margate,GB,51.3813,1.3862,44.98,54,84,3.62,1619725514
Arraial do Cabo,BR,-22.9661,-42.0278,72.63,73,75,4.61,1619726113
Okhotsk,RU,59.3833,143.3,31.95,89,95,1.9,1619726113
Avarua,CK,-21.2078,-159.775,82.4,83,40,9.22,1619726113
Xinzhou,CN,38.4092,112.7333,49.64,36,94,3.4,1619725786
Palana,RU,59.1167,159.9667,28.9,91,17,4.59,1619725787
Hobart,AU,-42.8794,147.3294,53.55,94,90,2.3,1619725607
Paamiut,GL,61.994,-49.6678,37.15,85,5,7.63,1619725787
Ribeira Grande,PT,38.5167,-28.7,60.8,67,40,12.66,1619725787
Hilo,US,19.7297,-155.09,76.12,69,90,5.75,1619725787
Upernavik,GL,72.7868,-56.1549,34.2,66,84,2.89,1619725788
Jamestown,US,42.097,-79.2353,54.05,100,90,11.5,1619725788
Rikitea,PF,-23.1203,-134.9692,76.32,70,100,11.1,1619725679
Qaanaaq,GL,77.484,-69.3632,26.26,75,85,7.29,1619725788
Ilulissat,GL,69.2167,-51.1,39.2,60,75,3.44,1619725789
Port Blair,IN,11.6667,92.75,80.98,77,100,4.79,1619725789
Ust-Maya,RU,60.4167,134.5333,29.73,99,81,3.27,1619725789
Port Alfred,ZA,-33.5906,26.891,64.18,79,100,11.99,1619725790
Tuktoyaktuk,CA,69.4541,-133.0374,21.2,68,20,17.27,1619725790
Saint George,US,37.1041,-113.5841,80.2,16,1,3.44,1619725790
Kholodnyy,RU,62.7167,147.95,26.17,94,100,2.21,1619725790
Bambous Virieux,MU,-20.3428,57.7575,76.51,83,75,17.27,1619725791
Punta Arenas,CL,-53.15,-70.9167,42.39,75,0,5.75,1619725791
Mahon,ES,39.8885,4.2658,60.8,94,20,4.61,1619725791
Yellowknife,CA,62.456,-114.3525,25.79,58,20,6.91,1619725756
Luganville,VU,-15.5333,167.1667,78.37,74,78,11.21,1619725791
Palmer,US,42.1584,-72.3287,58.17,100,90,3.44,1619725792
Lima,PE,-12.0432,-77.0282,69.69,82,40,5.75,1619725720
Vaini,TO,-21.2,-175.2,75.2,100,90,4.61,1619725792
Riwaka,NZ,-41.0833,173.0,46.0,89,57,3.0,1619725792
Atuona,PF,-9.8,-139.0333,78.93,72,5,5.91,1619725793
Saint Paul Harbor,US,57.79,-152.4072,39.2,87,90,3.44,1619725704
Shakawe,BW,-18.3667,21.85,72.01,50,66,2.37,1619725793
Salalah,OM,17.0151,54.0924,84.2,79,20,6.91,1619725793
Berbera,SO,10.4396,45.0143,84.67,63,98,8.46,1619725794
Buraidah,SA,26.326,43.975,82.4,23,0,4.61,1619725607
Zhangaözen,KZ,43.3,52.8,54.43,68,37,7.54,1619725794
Bathsheba,BB,13.2167,-59.5167,80.6,61,20,12.66,1619725794
Luga,RU,58.7372,29.8453,37.09,74,87,0.76,1619725794
Torbay,CA,47.6666,-52.7314,48.49,61,75,6.91,1619725501
Bluff,NZ,-46.6,168.3333,51.01,92,88,8.99,1619725795
Cabo San Lucas,MX,22.8909,-109.9124,78.03,40,1,12.66,1619725522
Lagoa,PT,39.05,-27.9833,57.15,61,100,8.9,1619725795
Leningradskiy,RU,69.3833,178.4167,23.34,92,100,4.09,1619725795
Kapaa,US,22.0752,-159.319,74.61,69,40,14.97,1619725796
Laas,IT,46.6166,10.7002,51.85,93,75,5.75,1619725796
Tingo María,PE,-9.2895,-76.0088,80.6,69,75,6.91,1619725796
Hithadhoo,MV,-0.6,73.0833,83.93,70,94,7.34,1619725796
Thompson,CA,55.7435,-97.8558,32.0,47,75,16.11,1619725504
Jhang,PK,33.6748,72.6963,74.95,45,90,4.07,1619725797
Ambon City,ID,-3.6954,128.1814,80.67,71,90,2.93,1619725797
Fortuna,US,40.5982,-124.1573,59.97,82,1,6.91,1619725797
Gryazovets,RU,58.88,40.2525,31.21,81,42,5.66,1619725798
Sechura,PE,-5.5569,-80.8222,80.47,55,5,12.03,1619725798
Ponta do Sol,PT,32.6667,-17.1,55.96,70,81,6.87,1619725798
Esperance,AU,-33.8667,121.9,60.8,82,75,19.57,1619725798
Baykit,RU,61.67,96.37,30.34,94,64,3.31,1619725799
Bethel,US,41.3712,-73.414,65.35,77,90,7.4,1619725799
Gwadar,PK,25.1216,62.3254,82.71,74,39,10.16,1619725799
Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,40,20.71,1619725799
Terrace Bay,CA,48.7834,-87.1,44.6,70,90,5.75,1619725800
Yorkton,CA,51.2167,-102.4677,46.4,31,1,16.11,1619725800
Namtsy,RU,62.7161,129.6658,33.8,64,75,6.71,1619725800
New Norfolk,AU,-42.7826,147.0587,52.05,92,45,2.3,1619725801
Saint-François,FR,46.4154,3.9054,49.06,87,0,4.61,1619725801
Provideniya,RU,64.3833,-173.3,30.2,64,0,4.47,1619725801
Progreso,MX,21.2833,-89.6667,98.47,28,90,20.71,1619725802
Aripuanã,BR,-9.1667,-60.6333,81.73,79,57,2.26,1619725802
Bayan,CN,46.0833,127.4,41.14,74,100,4.76,1619725802
Baruun-Urt,MN,46.6806,113.2792,30.6,38,41,7.52,1619725802
Rebrikha,RU,53.0733,82.3408,53.6,78,100,12.37,1619725803
Prince Rupert,CA,54.3161,-130.3201,48.88,87,90,16.11,1619725531
Broome,US,42.2506,-75.833,61.45,100,90,6.91,1619725804
Katsuura,JP,35.1333,140.3,58.5,90,100,8.52,1619725640
Hays,US,30.0502,-98.0336,67.75,95,100,8.01,1619725783
Tabou,CI,4.423,-7.3528,80.76,80,100,6.15,1619725804
Nelson Bay,AU,-32.7167,152.15,51.12,100,5,3.24,1619725804
Mehrān,IR,33.1222,46.1646,64.4,32,0,4.61,1619725805
Lompoc,US,34.6391,-120.4579,75.85,38,8,14.97,1619725805
Shache,CN,38.4167,77.2406,67.89,11,3,6.29,1619725805
Coruripe,BR,-10.1256,-36.1756,79.41,72,86,8.68,1619725805
Malakal,SS,9.5334,31.6605,78.98,67,100,3.11,1619725806
Half Moon Bay,US,37.4636,-122.4286,66.61,55,40,9.22,1619725806
Bredasdorp,ZA,-34.5322,20.0403,55.4,82,98,3.44,1619725806
Khatanga,RU,71.9667,102.5,30.18,94,100,9.24,1619725806
Muros,ES,42.7762,-9.0603,54.36,63,5,13.09,1619725807
Cap Malheureux,MU,-19.9842,57.6142,75.99,88,26,7.0,1619725807
Saskylakh,RU,71.9167,114.0833,26.33,91,100,9.19,1619725807
Coquimbo,CL,-29.9533,-71.3436,66.2,59,0,10.36,1619725808
Ancud,CL,-41.8697,-73.8203,58.23,82,75,16.11,1619725808
Talāja,IN,21.35,72.05,89.67,40,100,8.77,1619725808
Mahébourg,MU,-20.4081,57.7,77.0,83,75,17.27,1619725808
Machaneng,BW,-23.1862,27.4886,70.81,29,7,8.08,1619725809
Chumikan,RU,54.7183,135.315,19.56,90,100,1.63,1619725809
Longyearbyen,SJ,78.2186,15.6401,21.2,58,40,14.97,1619725809
Antalaha,MG,-14.9003,50.2788,75.52,85,7,7.07,1619725810
Thanh Hoa,VN,19.8,105.7667,66.09,93,92,1.43,1619725636
Vila Velha,BR,-20.3297,-40.2925,77.0,78,75,13.8,1619725810
St Albans,GB,51.75,-0.3333,44.56,75,100,5.75,1619725550
Airai,TL,-8.9266,125.4092,59.31,91,92,2.06,1619725810
Sioux Lookout,CA,50.1001,-91.917,42.8,65,75,9.22,1619725811
Porto Santo,PT,33.071999999999996,-16.3415,62.6,59,40,11.5,1619725811
Cherskiy,RU,68.75,161.3,18.61,94,100,5.99,1619725811
Sitka,US,57.0531,-135.33,48.2,87,90,4.61,1619725811
Bemidji,US,47.4736,-94.8803,56.89,36,1,17.27,1619725812
Narsaq,GL,60.9167,-46.05,42.8,65,20,6.91,1619725812
Quatre Cocos,MU,-20.2078,57.7625,76.46,83,75,17.27,1619725812
Chui,UY,-33.6971,-53.4616,67.23,61,0,3.24,1619725813
Muncar,ID,-8.4333,114.3333,76.12,91,72,1.39,1619725813
Diapaga,BF,12.0708,1.7889,97.02,15,13,6.02,1619725813
Hīt,IQ,33.6416,42.8251,84.13,16,4,11.14,1619725813
Kamina,CD,-8.7386,24.9906,66.52,92,57,3.74,1619725814
Mnogovershinnyy,RU,53.9353,139.9242,23.72,80,100,4.14,1619725814
Åmot,NO,59.5714,7.9877,32.61,87,17,4.32,1619725814
Marsh Harbour,BS,26.5412,-77.0636,77.23,73,100,15.68,1619725815
